日期,赛事,比赛,模拟ID,赛制阶段,市场框架,模拟盘口/价格,模拟方向,虚拟仓位单位,基本面拉力,盘口倾向,Polymarket/交易所情绪,流动性,模拟目的,是否主单,赛果,模拟盈亏单位,过程评级,错误类型,模型更新,开赛时间,比赛ID,赛事原始,国家,层级,五大地区筛选
2026-08-07,德乙,波鸿 vs 柏林赫塔,20260807-GER2-BOC-HER-SIM-O25,联赛揭幕/德乙,进球盘,bwin 1X2 2.37/3.80/2.70；O2.5 1.49,大2.5,0.25,两队升级名气都有拉力，揭幕战关注度高,欧赔主客接近但总进球压低至1.49，市场预期开放,未见合格PM,高,测试德乙揭幕战强队对攻/BTTS逻辑,否,波鸿0-1柏林赫塔,-0.25,D,德乙大球主单失败,德乙揭幕/强队名气不能直接转大球，需射门质量和阵容验证。,,20260807-GER2-BOC-HER-SIM-O25,德乙,德国,次级,是
2026-08-09,英联杯,曼斯菲尔德 vs 谢菲联,20260809-EFLCUP-MAN-SHU-SIM-SHU-DNB,杯赛早轮/英联杯,DNB,谢菲联DNB待核,谢菲联DNB,0.25,谢菲联级别拉力强，但杯赛早轮热门税仍在,不追客胜/深让，只测DNB,未见合格PM,中低,英联杯热门税下DNB测试,否,曼斯菲尔德0-3谢菲联,+0.12,A,无,英联杯热门税下DNB/不追深让有效。,,20260809-EFLCUP-MAN-SHU-SIM-SHU-DNB,英联杯,英格兰,杯赛,是
2026-08-09,德乙,科特布斯 vs 汉诺威96,20260809-GER2-COT-HAN-SIM-BTTS,联赛揭幕/德乙,BTTS,BTTS Yes待核,双方进球 Yes,0.25,揭幕轮防线状态不稳，汉诺威客队拉力,不追客胜，转BTTS模拟,未见合格PM,中,德乙揭幕BTTS分支测试,否,科特布斯3-1汉诺威96,+0.18,A,无,德乙揭幕BTTS比胜平负更合适。,,20260809-GER2-COT-HAN-SIM-BTTS,德乙,德国,次级,是
2026-08-09,德乙,纽伦堡 vs 德累斯顿,20260809-GER2-NUR-DRE-SIM-O25,联赛揭幕/德乙,进球盘,O2.5待核,大2.5,0.25,两队拉力接近，揭幕战失误尾部,胜平负不碰，模拟进球,未见合格PM,中,德乙揭幕进球盘修正测试,否,纽伦堡3-0德累斯顿,+0.18,A,无,德乙揭幕进球盘有效。,,20260809-GER2-NUR-DRE-SIM-O25,德乙,德国,次级,是
2026-08-09,德乙,圣保利 vs 菲尔特,20260809-GER2-STP-FUR-SIM-ML,联赛揭幕/德乙,胜平负,bwin 1.68/4.10/4.75,圣保利,0.25,圣保利主场和降级/升级叙事拉力强,短价只模拟；PM零成交不买,PM STP约57c但$0成交,中/PM零成交,德乙强主短价方向测试,否,圣保利1-1菲尔特,-0.25,D,强主短价被平,德乙强主ML继续降权，进球/BTTS优先。,,20260809-GER2-STP-FUR-SIM-ML,德乙,德国,次级,是
2026-08-09,德乙,沃尔夫斯堡 vs 凯泽斯劳滕,20260809-GER2-WOL-KAI-SIM-ML,联赛揭幕/德乙,胜平负,主胜约1.53参考,沃尔夫斯堡,0.25,沃尔夫斯堡级别/品牌拉力强,短价但不追让球；昨日大球失败后回到胜平负方向验证,未见合格PM,中,测试德乙强主短价方向，不做主单,否,沃尔夫斯堡0-0凯泽斯劳滕,-0.25,D,德乙短价主胜被平局打穿,德乙揭幕短价主胜继续降权，需DNB/让浅保护。,,20260809-GER2-WOL-KAI-SIM-ML,德乙,德国,次级,是
2026-08-10,英联杯,普利茅斯 vs 埃克塞特城,20260810-EFLCUP-PLY-EXE-SIM-O25,杯赛早轮/英联杯,进球盘,1X2约1.49/4.00/4.70；O2.5约1.43-1.54,大2.5,0.25,普利茅斯主场级别拉力强，埃克塞特德比/杯赛动机强,主胜短价不追，转总进球模拟,PM有本场Exact Score但未见可执行盘口主单,中,英联杯热门税下进球盘测试,否,普利茅斯2-0埃克塞特城,-0.25,C,框架错误,英联杯早轮德比不自动等于大球；主队控制力强且客队进球路径弱时，优先看主队不败/让球或小3.0,,20260810-EFLCUP-PLY-EXE-SIM-O25,英联杯,英格兰,杯赛,是
2026-08-15,意大利杯,都灵 vs 凯勒雷斯,20260815-COPPA-TOR-CAR-SIM-TORML,杯赛早轮/意杯,胜平负,都灵ML待核,都灵,0.25,都灵级别优势明显，但杯赛轮换风险存在,只取ML方向，不追深让,未见合格PM,中,测试意杯早轮强主ML,否,都灵1-0凯勒雷斯,+0.08,B,结果对/证据不足,意杯强主ML命中但一球桶大,,20260815-COPPA-TOR-CAR-SIM-TORML,意大利杯,意大利,杯赛,是
2026-08-15,意大利杯,乌迪内斯 vs 帕多瓦,20260815-COPPA-UDI-PAD-SIM-UDIML,杯赛早轮/意杯,胜平负,乌迪内斯ML待核,乌迪内斯,0.25,乌迪内斯级别拉力强，帕多瓦杯赛战意有抵抗,ML模拟，深让不碰,未见合格PM,中,测试意杯早轮强主ML与轮换风险,否,乌迪内斯1-0帕多瓦,+0.08,B,结果对/证据不足,意杯强主ML命中但深让仍不可推,,20260815-COPPA-UDI-PAD-SIM-UDIML,意大利杯,意大利,杯赛,是
2026-08-15,英冠,博尔顿 vs 普雷斯顿,20260815-ENG2-BOL-PNE-SIM-BOLDNB,联赛揭幕/英冠,DNB,Bolton DNB待核,博尔顿DNB,0.25,博尔顿主场和开局动能较强，普雷斯顿公众信心弱,TalkSport偏博尔顿先入球，但不追ML,未见合格PM,中,测试英冠揭幕主队DNB,否,博尔顿2-1普雷斯顿,+0.18,A-,结果对/证据不足,主队DNB保护命中，需补AH价格,,20260815-ENG2-BOL-PNE-SIM-BOLDNB,英冠,英格兰,次级,是
2026-08-15,英冠,米德尔斯堡 vs 林肯城,20260815-ENG2-MID-LIN-SIM-MIDML,联赛揭幕/英冠,胜平负,1X2约1.33/5.25/8.00,米德尔斯堡,0.25,米堡投资和升级叙事强，林肯升班马被低看,短价方向模拟；不追深让,未见合格PM,中高,测试英冠揭幕强主短价是否只取ML,否,米德尔斯堡2-1林肯城,+0.08,B,结果对/证据不足,短价ML方向命中但收益薄，深让不验证,,20260815-ENG2-MID-LIN-SIM-MIDML,英冠,英格兰,次级,是
2026-08-15,英冠,诺维奇 vs 西布朗,20260815-ENG2-NOR-WBA-SIM-BTTS,联赛揭幕/英冠,BTTS,BTTS Yes待核,双方进球Yes,0.25,诺维奇主场小热，西布朗反击/定位球有路径,选边边际不足，转BTTS,未见合格PM,中,测试英冠揭幕接近盘BTTS,否,诺维奇1-2西布朗,+0.20,A-,结果对/证据不足,英冠接近盘BTTS命中，需价格累计,,20260815-ENG2-NOR-WBA-SIM-BTTS,英冠,英格兰,次级,是
2026-08-15,英冠,谢菲联 vs 伯明翰,20260815-ENG2-SHU-BIR-SIM-U25,联赛揭幕/英冠,进球盘,U2.5待核,小2.5,0.25,双方品牌拉力接近，揭幕战容错低,不选边，低比分观察,未见合格PM,中低,测试英冠强强揭幕小球,否,谢菲联0-0伯明翰,+0.20,A-,结果对/证据不足,英冠强强揭幕小球命中但不得机械化,,20260815-ENG2-SHU-BIR-SIM-U25,英冠,英格兰,次级,是
2026-08-15,英甲,布拉德福德 vs 彼得堡联,20260815-ENG3-BRA-PET-SIM-BRADNB,联赛揭幕/英甲,DNB,Bradford DNB待核,布拉德福德DNB,0.25,布拉德福德延续上季强势叙事，彼得堡防守不稳,低级别只模拟，不主推,未见合格PM,中低,测试英甲主场状态DNB,否,布拉德福德2-0彼得堡联,+0.18,A-,结果对/证据不足,英甲低级别DNB命中但仍只观察,,20260815-ENG3-BRA-PET-SIM-BRADNB,英甲,英格兰,次次级,是
2026-08-15,德乙,菲尔特 vs 纽伦堡,20260815-GER2-FUR-NUR-SIM-BTTS,联赛早期/德乙,BTTS,BTTS Yes待核,双方进球Yes,0.25,德比/区域对话双方进攻参与高，但不等于大球必穿,只用BTTS小仓,未见合格PM,中低,测试德乙德比BTTS而非大球,否,菲尔特2-4纽伦堡,+0.20,A-,结果对/证据不足,德乙德比BTTS命中，需价格确认,,20260815-GER2-FUR-NUR-SIM-BTTS,德乙,德国,次级,是
2026-08-15,德乙,柏林赫塔 vs 海登海姆,20260815-GER2-HER-HEI-SIM-BTTS,联赛早期/德乙,BTTS,BTTS Yes待核,双方进球Yes,0.25,赫塔主场拉力，海登海姆降级/级别叙事强,不选边，德乙早期进球表达,未见合格PM,中,测试德乙早期BTTS,否,柏林赫塔4-1海登海姆,+0.20,A-,结果对/证据不足,德乙早期BTTS命中但不能自动大球主推,,20260815-GER2-HER-HEI-SIM-BTTS,德乙,德国,次级,是
2026-08-15,西甲,阿拉维斯 vs 赫塔费,20260815-LIGA-ALA-GET-SIM-U25,联赛早期/西甲,进球盘,U2.5待核,小2.5,0.25,双方低节奏/低拉力，开季优先保守,小球观察，非主单,未见合格PM,中,测试西甲低拉力小球,否,阿拉维斯3-0赫塔费,-0.25,D,西甲小球失败,不能用联赛低节奏标签替代球队级进攻/早球风险,,20260815-LIGA-ALA-GET-SIM-U25,西甲,西班牙,顶级,是
2026-08-15,西甲,塞维利亚 vs 巴列卡诺,20260815-LIGA-SEV-RAY-SIM-SEVDNB,联赛早期/西甲,DNB,塞维利亚DNB待核,塞维利亚DNB,0.25,塞维利亚主场和品牌拉力略强，巴列卡诺反击有威胁,主胜不追，DNB保护,未见合格PM,中,测试西甲主场小热DNB,否,塞维利亚2-1巴列卡诺,+0.18,A-,结果对/证据不足,DNB保护命中,,20260815-LIGA-SEV-RAY-SIM-SEVDNB,西甲,西班牙,顶级,是
2026-08-16,意大利杯,热那亚 vs 阿斯科利,20260816-COPPA-GEN-ASC-SIM-GENML,杯赛早轮/90分钟,胜平负,热那亚ML待核,热那亚胜,0.25,热那亚级别和主场拉力强，杯赛轮换风险存在,低赔只模拟，严格90分钟,未见合格PM,中,测试意杯级别差主胜,否,赛果未匹配待人工核验,不计,,比分源未匹配/不计胜率,过期待赛已清理；需补充Flashscore/球探历史或人工核验,,20260816-COPPA-GEN-ASC-SIM-GENML,意大利杯,意大利,杯赛,是
2026-08-16,意大利杯,拉齐奥 vs 曼托瓦,20260816-COPPA-LAZ-MAN-SIM-LAZML,杯赛早轮/90分钟,胜平负,拉齐奥ML待核,拉齐奥胜,0.25,拉齐奥级别和阵容拉力强，低级别客队防守心态明确,不碰让深盘，只测ML,未见合格PM,中,测试意杯强弱差ML兑现率,否,赛果未匹配待人工核验,不计,,比分源未匹配/不计胜率,过期待赛已清理；需补充Flashscore/球探历史或人工核验,,20260816-COPPA-LAZ-MAN-SIM-LAZML,意大利杯,意大利,杯赛,是
