统计日期,冻结时间,数据源,日期,开赛时间,比赛ID,赛事,比赛,比赛分类,微观板块,国家,赛事层级,盘口,水位分层,倾向意图,阻诱目标侧,理论资金主队占比,理论资金客队占比,实际资金主队占比,实际资金客队占比,资金偏离主队,资金偏离客队,资金过热侧,过热阈值,理论占比依据,实际资金流向,目标侧水位甜头,意图成败,资金流修正方向,资金流修正球队,资金流来源,资金流时间戳,动作,选择方向,投注盘向,投注球队,选中水位,综合胜率,盈亏平衡胜率,通过阈值,同档样本,同档选中胜率,风控状态,仓位系数,下注金额,已结算,结算标签,实际盈亏Unit,实际盈亏金额,赛果,比分来源,即时亚盘,盘口线,上盘方,候选映射方向,反向方向,候选依据,下注建议,未通过/通过原因
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-2 18:00 北京时间（东8区）,,日职联,大阪樱花 vs 柏太阳神,亚盘,日韩系列,日本,顶级联赛,平手/半球,0.81-0.90,阻下/下盘保护,lower,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,"Chuqi必发衍生：理论主45.7%/客54.3%；实际主25.0%/客75.0%；偏离主-20.6pct/客+20.6pct；过热侧=柏太阳神（超过理论占比5pct才算）；总成交85900.0；主18800(22%,价3.6,盈亏16212)；和10800(13%,价3.75,盈亏43525)；客56300(66%,价2.18,盈亏-34422)；来源https://live.chuqi.com/football/live-bifa/14578092/",,赛前冻结-待赛后验证,,,"Chuqi必发衍生：理论主45.7%/客54.3%；实际主25.0%/客75.0%；偏离主-20.6pct/客+20.6pct；过热侧=柏太阳神（超过理论占比5pct才算）；总成交85900.0；主18800(22%,价3.6,盈亏16212)；和10800(13%,价3.75,盈亏43525)；客56300(66%,价2.18,盈亏-34422)；来源https://live.chuqi.com/football/live-bifa/14578092/",2026-09-03 07:55:09,反向,反向,上盘,柏太阳神,0.8600,0.5700,0.5376,0.5576,8,0.3750,状态A-正常态,1.0000,25.0000,否,,,,进行中/待确认 2-0,赛前冻结，待赛果更新,开 0.85/-0.25/1.03 → 即 1.03/-0.25/0.86,平手/半球,客队,下盘,上盘,亚盘意图候选：阻下 / 下盘保护（低证据）。依据：客队上盘，让球基本稳定，上盘水位0.86，下盘水位1.03，欧赔削弱上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,可投,通过：综合胜率57.0% >= 阈值55.8%；风控状态A-正常态
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-2 18:00 北京时间（东8区）,,日职联,广岛三箭 vs 名古屋鲸八,亚盘,日韩系列,日本,顶级联赛,一球,0.81-0.90,诱上/阻下,lower,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,反向,反向,上盘,广岛三箭,0.8200,0.5980,0.5495,0.5695,13,0.7270,状态A-正常态,1.0000,25.0000,否,,,,进行中/待确认 2-0,赛前冻结，待赛果更新,开 0.9/1.0/0.98 → 即 0.82/1.0/1.07,一球,主队,下盘,上盘,亚盘意图候选：诱上 / 阻下（低证据）。依据：主队上盘，让球基本稳定，上盘水位0.82，下盘水位1.07，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,可投,通过：综合胜率59.8% >= 阈值56.9%；风控状态A-正常态
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-2 18:00 北京时间（东8区）,,日职联,横滨水手 vs 京都不死鸟,亚盘,日韩系列,日本,顶级联赛,半球,0.91-1.00,真实示强/阻上,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,"Chuqi必发衍生：理论主54.6%/客45.4%；实际主72.4%/客27.6%；偏离主+17.8pct/客-17.8pct；过热侧=横滨水手（超过理论占比5pct才算）；总成交48000.0；主24900(52%,价2.08,盈亏-3806)；和13600(28%,价3.9,盈亏-5243)；客9500(20%,价3.8,盈亏12028)；来源https://live.chuqi.com/football/live-bifa/14578136/",,赛前冻结-待赛后验证,,,"Chuqi必发衍生：理论主54.6%/客45.4%；实际主72.4%/客27.6%；偏离主+17.8pct/客-17.8pct；过热侧=横滨水手（超过理论占比5pct才算）；总成交48000.0；主24900(52%,价2.08,盈亏-3806)；和13600(28%,价3.9,盈亏-5243)；客9500(20%,价3.8,盈亏12028)；来源https://live.chuqi.com/football/live-bifa/14578136/",2026-09-03 07:55:09,反向,反向,下盘,京都不死鸟,0.9300,0.5800,0.5181,0.5381,10,0.6000,状态A-正常态,1.0000,25.0000,否,,,,进行中/待确认 1-1,赛前冻结，待赛果更新,开 0.92/0.25/0.96 → 即 0.96/0.5/0.93,半球,主队,上盘,下盘,亚盘意图候选：真实示强 / 阻上（低证据）。依据：主队上盘，让球加深，上盘水位0.96，下盘水位0.93，欧赔削弱上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,可投,通过：综合胜率58.0% >= 阈值53.8%；风控状态A-正常态
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-2 18:00 北京时间（东8区）,,日职联,水户蜀葵 vs 鹿岛鹿角,亚盘,日韩系列,日本,顶级联赛,半球/一球,0.81-0.90,阻上/诱下,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,"Chuqi必发衍生：理论主43.4%/客56.6%；实际主13.9%/客86.1%；偏离主-29.5pct/客+29.5pct；过热侧=鹿岛鹿角（超过理论占比5pct才算）；总成交255500.0；主31400(12%,价5.4,盈亏92331)；和29100(11%,价4,盈亏140100)；客195000(76%,价1.78,盈亏-95624)；来源https://live.chuqi.com/football/live-bifa/14578144/",,赛前冻结-待赛后验证,,,"Chuqi必发衍生：理论主43.4%/客56.6%；实际主13.9%/客86.1%；偏离主-29.5pct/客+29.5pct；过热侧=鹿岛鹿角（超过理论占比5pct才算）；总成交255500.0；主31400(12%,价5.4,盈亏92331)；和29100(11%,价4,盈亏140100)；客195000(76%,价1.78,盈亏-95624)；来源https://live.chuqi.com/football/live-bifa/14578144/",2026-09-03 07:55:09,反向,反向,下盘,水户蜀葵,0.8900,0.5710,0.5291,0.5491,5,0.7500,状态A-正常态,1.0000,25.0000,否,,,,进行中/待确认 4-1,赛前冻结，待赛果更新,开 0.86/-0.5/1.02 → 即 0.89/-0.75/1.0,半球/一球,客队,上盘,下盘,亚盘意图候选：阻上 / 诱下（低证据）。依据：客队上盘，让球加深，上盘水位1.00，下盘水位0.89，欧赔削弱上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,可投,通过：综合胜率57.1% >= 阈值54.9%；风控状态A-正常态
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-2 18:00 北京时间（东8区）,,日职联,清水鼓动 vs FC东京,亚盘,日韩系列,日本,顶级联赛,半球/一球,0.91-1.00,真实示强/阻上,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,反向,反向,下盘,清水鼓动,0.9200,0.5800,0.5208,0.5408,8,1.0000,状态A-正常态,1.0000,25.0000,否,,,,进行中/待确认 1-1,赛前冻结，待赛果更新,开 0.83/-0.5/1.05 → 即 0.92/-0.75/0.97,半球/一球,客队,上盘,下盘,亚盘意图候选：真实示强 / 阻上（低证据）。依据：客队上盘，让球加深，上盘水位0.97，下盘水位0.92，欧赔削弱上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,可投,通过：综合胜率58.0% >= 阈值54.1%；风控状态A-正常态
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-2 18:00 北京时间（东8区）,,日职联,长崎成功丸 vs 大阪钢巴,亚盘,日韩系列,日本,顶级联赛,半球,0.81-0.90,阻上/诱下,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,"Chuqi必发衍生：理论主45.8%/客54.2%；实际主52.3%/客47.7%；偏离主+6.6pct/客-6.6pct；过热侧=长崎成功丸（超过理论占比5pct才算）；总成交202100.0；主84900(42%,价2.94,盈亏-55833)；和39900(20%,价3.5,盈亏59346)；客77300(38%,价2.66,盈亏1132)；来源https://live.chuqi.com/football/live-bifa/14578284/",,赛前冻结-待赛后验证,,,"Chuqi必发衍生：理论主45.8%/客54.2%；实际主52.3%/客47.7%；偏离主+6.6pct/客-6.6pct；过热侧=长崎成功丸（超过理论占比5pct才算）；总成交202100.0；主84900(42%,价2.94,盈亏-55833)；和39900(20%,价3.5,盈亏59346)；客77300(38%,价2.66,盈亏1132)；来源https://live.chuqi.com/football/live-bifa/14578284/",2026-09-03 07:55:09,反向,反向,下盘,长崎成功丸,0.8300,0.5710,0.5464,0.5664,10,0.4000,状态A-正常态,1.0000,25.0000,否,,,,进行中/待确认 2-0,赛前冻结，待赛果更新,开 1.04/-0.25/0.84 → 即 0.83/-0.5/1.06,半球,客队,上盘,下盘,亚盘意图候选：阻上 / 诱下（低证据）。依据：客队上盘，让球加深，上盘水位1.06，下盘水位0.83，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,可投,通过：综合胜率57.1% >= 阈值56.6%；风控状态A-正常态
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-2 21:15 北京时间（东8区）,,俄杯,奥伦堡加索维克 vs 喀山红宝石,亚盘,欧洲非五大系列,俄罗斯,杯赛,平手/半球,0.91-1.00,真实示强/阻上,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,正向,正向,上盘,奥伦堡加索维克,0.9600,0.5740,0.5102,0.5302,9,0.8750,状态B-预警/降半仓,0.5000,20.0000,否,,,,1-1,赛前冻结，待赛果更新,开 0.84/0.0/0.98 → 即 0.96/0.25/0.86,平手/半球,主队,上盘,下盘,亚盘意图候选：真实示强 / 阻上（低证据）。依据：主队上盘，让球加深，上盘水位0.96，下盘水位0.86，欧赔削弱上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率57.4% >= 阈值53.0%；风控状态B-预警/降半仓
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-2 21:30 北京时间（东8区）,,克亚乙,乌克瓦 vs 萨格勒布迪那摩B队,亚盘,欧洲非五大系列,未识别,非顶级联赛,半球,0.91-1.00,降温保护/诱下,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,反向,反向,下盘,萨格勒布迪那摩B队,0.9400,0.6040,0.5155,0.5355,13,0.4620,状态B-预警/降半仓,0.5000,20.0000,否,,,,2-6,赛前冻结，待赛果更新,开 0.84/0.75/0.86 → 即 0.76/0.5/0.94,半球,主队,上盘,下盘,亚盘意图候选：降温保护 / 诱下（低证据）。依据：主队上盘，让球退盘，上盘水位0.76，下盘水位0.94，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率60.4% >= 阈值53.5%；风控状态B-预警/降半仓
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-2 21:45 北京时间（东8区）,,罗杯,博托沙尼 vs 胡内多阿拉,亚盘,欧洲非五大系列,未识别,杯赛,平手,0.91-1.00,降温保护/诱下,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,反向,反向,下盘,胡内多阿拉,0.9700,0.6040,0.5076,0.5276,19,0.6920,状态B-预警/降半仓,0.5000,20.0000,否,,,,0-1,赛前冻结，待赛果更新,开 0.93/0.25/0.77 → 即 0.73/0.0/0.97,平手,主队,上盘,下盘,亚盘意图候选：降温保护 / 诱下（低证据）。依据：主队上盘，让球退盘，上盘水位0.73，下盘水位0.97，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率60.4% >= 阈值52.8%；风控状态B-预警/降半仓
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-2 22:00 北京时间（东8区）,,土甲,贝拉迪亚士邦 vs 贝特曼,亚盘,欧洲非五大系列,土耳其,顶级联赛,半球,0.91-1.00,真实示强/阻上,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,正向,正向,上盘,贝特曼,0.9300,0.5740,0.5181,0.5381,10,0.4000,状态B-预警/降半仓,0.5000,20.0000,否,,,,0-2,赛前冻结，待赛果更新,开 0.93/-0.25/0.83 → 即 0.89/-0.5/0.93,半球,客队,上盘,下盘,亚盘意图候选：真实示强 / 阻上（低证据）。依据：客队上盘，让球加深，上盘水位0.93，下盘水位0.89，欧赔削弱上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率57.4% >= 阈值53.8%；风控状态B-预警/降半仓
