日期,比赛ID,赛事,北京时间,比赛,原始候选,基本面状态,伤停资料,首发确认,动作,未通过环节,规则版本,快照
2026-09-08,2929717,韩K联,9-8 18:30,仁川联 vs 富川FC,亚盘意图候选：阻上/降温保护（低证据）；依据：主队上盘，让球基本稳定，上盘水位1.06，下盘水位0.82，欧赔变化不大；缺伤停、首发、近5场、H2H、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定,pending,1,0,不投,双方赛程密度、轮换深度与战意尚未完成结构化核验；独立净胜球模型/Delta及留出校准未接入,asian-risk-v3.2.1-20260908,D:\codex\outputs\football_odds_trader\raw\titan007\20260908\20260908_072956_titan007_odds_snapshot.csv
2026-09-08,2929718,韩K联,9-8 18:30,蔚山HD vs FC首尔,亚盘意图候选：诱上/阻下（低证据）；依据：客队上盘，让球基本稳定，上盘水位0.84，下盘水位1.04，欧赔削弱上盘；缺伤停、首发、近5场、H2H、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定,pending,1,0,不投,双方赛程密度、轮换深度与战意尚未完成结构化核验；独立净胜球模型/Delta及留出校准未接入,asian-risk-v3.2.1-20260908,D:\codex\outputs\football_odds_trader\raw\titan007\20260908\20260908_072956_titan007_odds_snapshot.csv
2026-09-08,3046978,沙特联,9-8 23:30,达曼协作 vs 费萨里哈曼,亚盘意图候选：平衡盘/等待临场确认（低证据）；依据：主队上盘，让球基本稳定，上盘水位0.92，下盘水位0.90，欧赔变化不大；缺伤停、首发、近5场、H2H、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定,pending,1,0,不投,双方赛程密度、轮换深度与战意尚未完成结构化核验；独立净胜球模型/Delta及留出校准未接入,asian-risk-v3.2.1-20260908,D:\codex\outputs\football_odds_trader\raw\titan007\20260908\20260908_072956_titan007_odds_snapshot.csv
2026-09-08,3046979,沙特联,9-8 23:55,哈森姆 vs 布赖代合作,亚盘意图候选：平衡盘/等待临场确认（低证据）；依据：客队上盘，让球基本稳定，上盘水位0.86，下盘水位0.96，欧赔支持上盘；缺伤停、首发、近5场、H2H、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定,pending,1,0,不投,双方赛程密度、轮换深度与战意尚未完成结构化核验；独立净胜球模型/Delta及留出校准未接入,asian-risk-v3.2.1-20260908,D:\codex\outputs\football_odds_trader\raw\titan007\20260908\20260908_072956_titan007_odds_snapshot.csv
2026-09-08,3013074,俄杯,9-9 00:30,伊凡诺沃 vs 图拉兵工厂,亚盘意图候选：诱下/上盘降温（低证据）；依据：客队上盘，让球基本稳定，上盘水位0.99，下盘水位0.71，欧赔削弱上盘；缺伤停、首发、近5场、H2H、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定,pending,1,0,不投,双方赛程密度、轮换深度与战意尚未完成结构化核验；独立净胜球模型/Delta及留出校准未接入,asian-risk-v3.2.1-20260908,D:\codex\outputs\football_odds_trader\raw\titan007\20260908\20260908_072956_titan007_odds_snapshot.csv
2026-09-08,3073135,欧冠杯,9-9 00:45,布鲁日 vs 阿斯顿维拉,亚盘意图候选：阻下/下盘保护（低证据）；依据：客队上盘，让球基本稳定，上盘水位0.86，下盘水位1.02，欧赔支持上盘；缺伤停、首发、近5场、H2H、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定,pending,1,0,不投,双方赛程密度、轮换深度与战意尚未完成结构化核验；独立净胜球模型/Delta及留出校准未接入,asian-risk-v3.2.1-20260908,D:\codex\outputs\football_odds_trader\raw\titan007\20260908\20260908_072956_titan007_odds_snapshot.csv
2026-09-08,3073215,欧冠杯,9-9 00:45,AEK雅典 vs LASK林茨,亚盘意图候选：平衡盘/等待临场确认（低证据）；依据：主队上盘，让球基本稳定，上盘水位1.00，下盘水位0.88，欧赔变化不大；缺伤停、首发、近5场、H2H、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定,pending,1,0,不投,双方赛程密度、轮换深度与战意尚未完成结构化核验；独立净胜球模型/Delta及留出校准未接入,asian-risk-v3.2.1-20260908,D:\codex\outputs\football_odds_trader\raw\titan007\20260908\20260908_072956_titan007_odds_snapshot.csv
2026-09-08,2996117,荷甲,9-9 00:45,奈梅亨 vs SBV精英,亚盘意图候选：降温保护/诱下（低证据）；依据：主队上盘，让球退盘，上盘水位0.99，下盘水位0.89，欧赔支持上盘；缺伤停、首发、近5场、H2H、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定,pending,1,0,不投,双方赛程密度、轮换深度与战意尚未完成结构化核验；独立净胜球模型/Delta及留出校准未接入,asian-risk-v3.2.1-20260908,D:\codex\outputs\football_odds_trader\raw\titan007\20260908\20260908_072956_titan007_odds_snapshot.csv
2026-09-08,3046980,沙特联,9-9 02:00,吉达联合 vs 费哈,亚盘意图候选：平衡盘/等待临场确认（低证据）；依据：主队上盘，让球基本稳定，上盘水位0.93，下盘水位0.89，欧赔变化不大；缺伤停、首发、近5场、H2H、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定,pending,1,0,不投,双方赛程密度、轮换深度与战意尚未完成结构化核验；独立净胜球模型/Delta及留出校准未接入,asian-risk-v3.2.1-20260908,D:\codex\outputs\football_odds_trader\raw\titan007\20260908\20260908_072956_titan007_odds_snapshot.csv
2026-09-08,3046981,沙特联,9-9 02:00,卡达西亚 vs 吉达国民,亚盘意图候选：平衡盘/等待临场确认（低证据）；依据：主队上盘，让球基本稳定，上盘水位0.96，下盘水位0.86，欧赔支持上盘；缺伤停、首发、近5场、H2H、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定,pending,1,0,不投,双方赛程密度、轮换深度与战意尚未完成结构化核验；独立净胜球模型/Delta及留出校准未接入,asian-risk-v3.2.1-20260908,D:\codex\outputs\football_odds_trader\raw\titan007\20260908\20260908_072956_titan007_odds_snapshot.csv
2026-09-08,3008212,英冠,9-9 02:45,布莱克本 vs 谢菲尔德联队,亚盘意图候选：阻上/降温保护（低证据）；依据：客队上盘，让球基本稳定，上盘水位1.05，下盘水位0.83，欧赔变化不大；缺伤停、首发、近5场、H2H、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定,pending,1,0,不投,双方赛程密度、轮换深度与战意尚未完成结构化核验；独立净胜球模型/Delta及留出校准未接入,asian-risk-v3.2.1-20260908,D:\codex\outputs\football_odds_trader\raw\titan007\20260908\20260908_072956_titan007_odds_snapshot.csv
2026-09-08,3008216,英冠,9-9 02:45,沃特福德 vs 普雷斯顿,亚盘意图候选：阻上/降温保护（低证据）；依据：主队上盘，让球基本稳定，上盘水位1.06，下盘水位0.82，欧赔变化不大；缺伤停、首发、近5场、H2H、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定,pending,1,0,不投,双方赛程密度、轮换深度与战意尚未完成结构化核验；独立净胜球模型/Delta及留出校准未接入,asian-risk-v3.2.1-20260908,D:\codex\outputs\football_odds_trader\raw\titan007\20260908\20260908_072956_titan007_odds_snapshot.csv
2026-09-08,3008218,英冠,9-9 02:45,卡迪夫城 vs 斯托克城,亚盘意图候选：平衡盘/等待临场确认（低证据）；依据：主队上盘，让球基本稳定，上盘水位0.88，下盘水位1.00，欧赔变化不大；缺伤停、首发、近5场、H2H、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定,pending,1,0,不投,双方赛程密度、轮换深度与战意尚未完成结构化核验；独立净胜球模型/Delta及留出校准未接入,asian-risk-v3.2.1-20260908,D:\codex\outputs\football_odds_trader\raw\titan007\20260908\20260908_072956_titan007_odds_snapshot.csv
2026-09-08,3008219,英冠,9-9 02:45,南安普敦 vs 斯旺西,亚盘意图候选：平衡盘/等待临场确认（低证据）；依据：主队上盘，让球基本稳定，上盘水位0.87，下盘水位1.01，欧赔变化不大；缺伤停、首发、近5场、H2H、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定,pending,1,0,不投,双方赛程密度、轮换深度与战意尚未完成结构化核验；独立净胜球模型/Delta及留出校准未接入,asian-risk-v3.2.1-20260908,D:\codex\outputs\football_odds_trader\raw\titan007\20260908\20260908_072956_titan007_odds_snapshot.csv
2026-09-08,3008223,英冠,9-9 02:45,雷克瑟姆 vs 伯恩利,亚盘意图候选：真实示弱/阻下（低证据）；依据：主队上盘，让球退盘，上盘水位0.82，下盘水位1.06，欧赔削弱上盘；缺伤停、首发、近5场、H2H、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定,pending,1,0,不投,双方赛程密度、轮换深度与战意尚未完成结构化核验；独立净胜球模型/Delta及留出校准未接入,asian-risk-v3.2.1-20260908,D:\codex\outputs\football_odds_trader\raw\titan007\20260908\20260908_072956_titan007_odds_snapshot.csv
2026-09-08,3087319,英足总杯,9-9 02:45,伯尔德梅勒 vs 伯恩镇,亚盘意图候选：诱上/阻下（低证据）；依据：主队上盘，让球基本稳定，上盘水位0.83，下盘水位0.93，欧赔变化不大；缺伤停、首发、近5场、H2H、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定,pending,0,0,不投,双方赛程密度、轮换深度与战意尚未完成结构化核验；独立净胜球模型/Delta及留出校准未接入,asian-risk-v3.2.1-20260908,D:\codex\outputs\football_odds_trader\raw\titan007\20260908\20260908_072956_titan007_odds_snapshot.csv
2026-09-08,3087320,英足总杯,9-9 02:45,基特宁 vs 威灵保罗夫,亚盘意图候选：诱下/上盘降温（低证据）；依据：主队上盘，让球基本稳定，上盘水位1.00，下盘水位0.76，欧赔变化不大；缺伤停、首发、近5场、H2H、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定,pending,0,0,不投,双方赛程密度、轮换深度与战意尚未完成结构化核验；独立净胜球模型/Delta及留出校准未接入,asian-risk-v3.2.1-20260908,D:\codex\outputs\football_odds_trader\raw\titan007\20260908\20260908_072956_titan007_odds_snapshot.csv
2026-09-08,3087324,英足总杯,9-9 02:45,讷翰马科 vs 斯坦韦流浪,亚盘意图候选：平衡盘/等待临场确认（低证据）；依据：主队上盘，让球基本稳定，上盘水位0.87，下盘水位0.89，欧赔变化不大；缺伤停、首发、近5场、H2H、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定,pending,0,0,不投,双方赛程密度、轮换深度与战意尚未完成结构化核验；独立净胜球模型/Delta及留出校准未接入,asian-risk-v3.2.1-20260908,D:\codex\outputs\football_odds_trader\raw\titan007\20260908\20260908_072956_titan007_odds_snapshot.csv
2026-09-08,3087328,英足总杯,9-9 02:45,费克汉姆镇 vs 威尔,亚盘意图候选：诱下/上盘降温（低证据）；依据：客队上盘，让球基本稳定，上盘水位0.99，下盘水位0.77，欧赔变化不大；缺伤停、首发、近5场、H2H、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定,pending,0,0,不投,双方赛程密度、轮换深度与战意尚未完成结构化核验；独立净胜球模型/Delta及留出校准未接入,asian-risk-v3.2.1-20260908,D:\codex\outputs\football_odds_trader\raw\titan007\20260908\20260908_072956_titan007_odds_snapshot.csv
2026-09-08,3087330,英足总杯,9-9 02:45,希治 vs 比格尔斯威德,亚盘意图候选：诱下/上盘降温（低证据）；依据：主队上盘，让球基本稳定，上盘水位0.94，下盘水位0.82，欧赔变化不大；缺伤停、首发、近5场、H2H、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定,pending,0,0,不投,双方赛程密度、轮换深度与战意尚未完成结构化核验；独立净胜球模型/Delta及留出校准未接入,asian-risk-v3.2.1-20260908,D:\codex\outputs\football_odds_trader\raw\titan007\20260908\20260908_072956_titan007_odds_snapshot.csv
2026-09-08,3087331,英足总杯,9-9 02:45,布伦特伍德 vs 康卡德流浪,亚盘意图候选：诱上/阻下（低证据）；依据：主队上盘，让球基本稳定，上盘水位0.84，下盘水位0.92，欧赔变化不大；缺伤停、首发、近5场、H2H、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定,pending,0,0,不投,双方赛程密度、轮换深度与战意尚未完成结构化核验；独立净胜球模型/Delta及留出校准未接入,asian-risk-v3.2.1-20260908,D:\codex\outputs\football_odds_trader\raw\titan007\20260908\20260908_072956_titan007_odds_snapshot.csv
2026-09-08,3087338,英足总杯,9-9 02:45,哈瓦特 vs 茨伯翰,亚盘意图候选：诱下/上盘降温（低证据）；依据：主队上盘，让球基本稳定，上盘水位0.95，下盘水位0.81，欧赔变化不大；缺伤停、首发、近5场、H2H、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定,pending,0,0,不投,双方赛程密度、轮换深度与战意尚未完成结构化核验；独立净胜球模型/Delta及留出校准未接入,asian-risk-v3.2.1-20260908,D:\codex\outputs\football_odds_trader\raw\titan007\20260908\20260908_072956_titan007_odds_snapshot.csv
