日期,赛事,比赛分类,比赛,赛果,比分来源,模拟ID,市场框架,即时亚盘,盘口线,盘口档位,上盘方,候选标签,候选依据,候选映射方向,意图水位,意图结算,意图盈亏单位,意图均注盈亏,反向方向,反向水位,反向结算,反向盈亏单位,反向均注盈亏,有真实投注量,Polymarket/交易所情绪,流动性
2026-09-03,波兰杯,国内杯赛,威亚斯威德尼克 vs KS莫摩斯,3-1,Titan007完场快照:20260904_074355_titan007_odds_snapshot.csv,20260903-TITAN-3061602-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,1.01/-0.75/0.81,-0.75,半球/一球,客队,诱上/阻下,客队上盘，让球基本稳定，上盘水位0.81，下盘水位1.01，欧赔变化不大,下盘,1.010,赢,+1.0,+1.010,上盘,0.810,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-03,哈萨克甲,未知分类,艾斯坦拿B队 vs 塔拉兹,4-0,Titan007完场快照:20260904_074355_titan007_odds_snapshot.csv,20260903-TITAN-2965022-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.94/0.0/0.76,0,平手,主队,诱下/上盘降温,主队上盘，让球基本稳定，上盘水位0.94，下盘水位0.76，欧赔变化不大,上盘,0.940,赢,+1.0,+0.940,下盘,0.760,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-03,保乙,未知分类,索菲亚中央陆军B队 vs 保利文斯巴达,5-1,Titan007完场快照:20260904_074355_titan007_odds_snapshot.csv,20260903-TITAN-3017137-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.93/1.0/0.83,1,一球,主队,诱下/上盘降温,主队上盘，让球基本稳定，上盘水位0.93，下盘水位0.83，欧赔变化不大,上盘,0.930,赢,+1.0,+0.930,下盘,0.830,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-03,卡塔尔联,成年联赛T1,多哈国民 vs 卡塔尔体育,1-0,Titan007完场快照:20260904_074355_titan007_odds_snapshot.csv,20260903-TITAN-3037791-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.99/0.25/0.83,0.25,平手/半球,主队,诱下/上盘降温,主队上盘，让球基本稳定，上盘水位0.99，下盘水位0.83，欧赔变化不大,上盘,0.990,赢,+1.0,+0.990,下盘,0.830,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-03,土甲,成年联赛T2,厄德尔 vs 文尼沙BB,4-2,Titan007完场快照:20260904_074355_titan007_odds_snapshot.csv,20260903-TITAN-3030129-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.84/0.25/1.02,0.25,平手/半球,主队,诱上/阻下,主队上盘，让球基本稳定，上盘水位0.84，下盘水位1.02，欧赔变化不大,下盘,1.020,输,-1.0,-1.000,上盘,0.840,赢,+1.0,+0.840,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-03,罗杯,国内杯赛,FC贝卡 vs 克拉约瓦大学,1-2,Titan007完场快照:20260904_074355_titan007_odds_snapshot.csv,20260903-TITAN-3074148-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,1.07/-1.25/0.75,-1.25,一球/球半,客队,诱上/阻下,客队上盘，让球基本稳定，上盘水位0.75，下盘水位1.07，欧赔削弱上盘,下盘,1.070,赢半,+0.5,+0.535,上盘,0.750,输半,-0.5,-0.500,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-03,波兰杯,国内杯赛,台基 vs LKS洛迪兹,1-0,Titan007完场快照:20260904_074355_titan007_odds_snapshot.csv,20260903-TITAN-3061600-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.82/-0.25/1.0,-0.25,平手/半球,客队,诱下/上盘降温,客队上盘，让球基本稳定，上盘水位1.00，下盘水位0.82，欧赔变化不大,上盘,1.000,输,-1.0,-1.000,下盘,0.820,赢,+1.0,+0.820,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-03,沙特联,未知分类,费哈 vs 拉斯永恒,2-2,Titan007完场快照:20260904_074355_titan007_odds_snapshot.csv,20260903-TITAN-3046967-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.82/-0.25/1.06,-0.25,平手/半球,客队,阻上/诱下,客队上盘，让球加深，上盘水位1.06，下盘水位0.82，欧赔削弱上盘,上盘,1.060,输半,-0.5,-0.500,下盘,0.820,赢半,+0.5,+0.410,是,"Chuqi必发衍生：理论主51.2%/客48.8%；实际主30.0%/客70.0%；偏离主-21.2pct/客+21.2pct；过热侧=拉斯永恒（超过理论占比5pct才算）；总成交5700.0；主1500(26%,价3.3,盈亏765)；和700(13%,价3.4,盈亏3223)；客3500(61%,价2.42,盈亏-3083)；来源https://live.chuqi.com/football/live-bifa/14722662/",Chuqi必发衍生流动性；最新曲线2026-09-03 17:51:24；最大明细成交408@2026-09-03 16:45:35；Titan盘口价格流
2026-09-03,丹麦杯,国内杯赛,齐斯泰兹 vs 桑德捷斯基,0-2,ledger赛果兜底,20260903-TITAN-3061707-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.81/-1.75/1.01,-1.75,球半/两球,客队,诱下/上盘降温,客队上盘，让球基本稳定，上盘水位1.01，下盘水位0.81，欧赔变化不大,上盘,1.010,赢半,+0.5,+0.505,下盘,0.810,输半,-0.5,-0.500,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-03,保乙,未知分类,格纳火车头 vs 多布鲁察,2-0,ledger赛果兜底,20260903-TITAN-3017139-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.86/0.25/0.9,0.25,平手/半球,主队,诱上/阻下,主队上盘，让球加深，上盘水位0.86，下盘水位0.90，欧赔变化不大,下盘,0.900,输,-1.0,-1.000,上盘,0.860,赢,+1.0,+0.860,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
