日期,赛事,比赛,市场框架,模拟盘口/价格,模拟方向,赛果,模拟盈亏单位,模型更新
2026-09-03,波兰杯,威亚斯威德尼克 vs KS莫摩斯,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,威亚斯威德尼克3-1KS莫摩斯,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,哈萨克甲,艾斯坦拿B队 vs 塔拉兹,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,艾斯坦拿B队4-0塔拉兹,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,乌兹超,奥马利克 vs 花刺子模乌尔根奇,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,奥马利克1-0花刺子模乌尔根奇,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,保乙,索菲亚中央陆军B队 vs 保利文斯巴达,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,索菲亚中央陆军B队5-1保利文斯巴达,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,保乙,韦伦桑丹斯基 vs 伊塔尔,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,韦伦桑丹斯基4-1伊塔尔,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,卡塔尔联,多哈国民 vs 卡塔尔体育,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,多哈国民1-0卡塔尔体育,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,土甲,厄德尔 vs 文尼沙BB,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,厄德尔4-2文尼沙BB,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,立陶杯,希奥利艾 vs 考诺萨基列斯,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,希奥利艾0-1考诺萨基列斯,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,罗杯,FC贝卡 vs 克拉约瓦大学,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,FC贝卡1-2克拉约瓦大学,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,意丙杯,奇塔代拉 vs AC雷纳特,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,奇塔代拉4-1AC雷纳特,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,波兰杯,台基 vs LKS洛迪兹,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,台基1-0LKS洛迪兹,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,沙特联,费哈 vs 拉斯永恒,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,费哈2-2拉斯永恒,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,丹麦杯,齐斯泰兹 vs 桑德捷斯基,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,齐斯泰兹0-2桑德捷斯基,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,保乙,格纳火车头 vs 多布鲁察,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,格纳火车头2-0多布鲁察,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
