日期,赛事,比赛,模拟ID,赛制阶段,市场框架,模拟盘口/价格,模拟方向,虚拟仓位单位,基本面拉力,盘口倾向,Polymarket/交易所情绪,流动性,模拟目的,是否主单,赛果,模拟盈亏单位,过程评级,错误类型,模型更新
2026-09-08,韩K联,仁川联 vs 富川FC,20260908-TITAN-2929717-亚盘意图框架-待EV筛选,排名/阶段 9-10,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,0,主客排名/阶段 9-10；综合评分 主55/客45；伤停 主[9 穆格沙(中锋)-未知的损伤、21 李太熙(守门员)-未知的损伤、88 鄭佑金(前腰)-踝关节扭伤、6 文智焕(后腰)...] / 客[未接入/待核]；首发未接入/待赛前1小时核；近况 全部/记录: 主3胜4平3负 / 客4胜4平2负；主队 客队/记录: 主3胜3平4负 / 客3胜4平3负；H2H 全部/记录: 主3胜2平1负 / 客1胜2平3负；主客相同/记录: 主2胜1平0负 / 客0胜1平2负,Titan007亚盘 开 1.01/0.75/0.87；即 1.06/0.75/0.82；欧赔 开 1.75/3.43/4.55；即 1.74/3.43/4.5；去水 主52.8%/平26.8%/客20.4%；返还率91.9%；大小球 开 0.92/2.25/0.95；即 0.91/2.25/0.96；亚盘意图候选：阻上/降温保护（中证据）；依据：主队上盘，让球基本稳定，上盘水位1.06，下盘水位0.82，欧赔变化不大；缺首发、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定；PM/必发/BTTS缺口只作证据折扣；亚盘按标签+微观+水位+同档+风控判断,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程,严格按skill：展示盘口快照和球探详情；PM/必发/BTTS缺口只禁止对应市场主单，亚盘按标签+微观+水位+同档+风控漏斗判断,否,待赛,不计,NA,亚盘EV待筛选,本次更新已重新读取即时盘口；亚盘方向由HTML红框EV漏斗给出；无投注数据时沿用原亚盘EV框架，有Chuqi/必发匹配时按资金流验证矩阵审计
2026-09-08,韩K联,蔚山HD vs FC首尔,20260908-TITAN-2929718-亚盘意图框架-待EV筛选,排名/阶段 3-1,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,0,主客排名/阶段 3-1；综合评分 主45/客55；伤停 主[55 欧德科特(中卫)-未知的损伤、11 法里亚斯(中锋)-跟腱手术、99 Y·卡里略(中锋)-红牌禁赛、96 崔硕贤(...] / 客[4 李相珉(中卫)-未知的损伤、40 朴成勋(中卫)-被征召到国家队、41 黄度尹(后腰)-被征召到国家队]；首发未接入/待赛前1小时核；近况 全部/记录: 主4胜1平5负 / 客6胜2平2负；主队 客队/记录: 主5胜0平5负 / 客6胜2平2负；H2H 全部/记录: 主1胜2平3负 / 客3胜2平1负；主客相同/记录: 主2胜3平1负 / 客1胜3平2负,Titan007亚盘 开 0.96/-0.25/0.92；即 1.04/-0.25/0.84；欧赔 开 3.28/3.41/2.07；即 3.1/3.26/2.18；去水 主29.6%/平28.2%/客42.2%；返还率91.9%；大小球 开 0.87/2.75/1.0；即 0.8/2.75/1.07；亚盘意图候选：诱上/阻下（中证据）；依据：客队上盘，让球基本稳定，上盘水位0.84，下盘水位1.04，欧赔削弱上盘；缺首发、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定；PM/必发/BTTS缺口只作证据折扣；亚盘按标签+微观+水位+同档+风控判断,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程,严格按skill：展示盘口快照和球探详情；PM/必发/BTTS缺口只禁止对应市场主单，亚盘按标签+微观+水位+同档+风控漏斗判断,否,待赛,不计,NA,亚盘EV待筛选,本次更新已重新读取即时盘口；亚盘方向由HTML红框EV漏斗给出；无投注数据时沿用原亚盘EV框架，有Chuqi/必发匹配时按资金流验证矩阵审计
2026-09-08,沙特联,达曼协作 vs 费萨里哈曼,20260908-TITAN-3046978-亚盘意图框架-待EV筛选,排名/阶段 8-17,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,0,主客排名/阶段 8-17；综合评分 主55/客45；伤停 主[未接入/待核] / 客[0 伊萨(中场)-未知的损伤、14 A·莫格伦(前锋)-腿筋受伤]；首发未接入/待赛前1小时核；近况 全部/记录: 主4胜2平4负 / 客4胜2平4负；主队 客队/记录: 主4胜2平4负 / 客7胜1平2负；H2H 全部/记录: 主4胜2平0负 / 客0胜2平4负；主客相同/记录: 主2胜2平2负 / 客2胜2平2负,Titan007亚盘 开 0.92/0.5/0.9；即 0.92/0.5/0.9；欧赔 开 1.9/3.73/3.44；即 1.96/3.61/3.32；去水 主46.9%/平25.5%/客27.7%；返还率91.9%；大小球 开 1.0/3.0/0.8；即 0.9/3.0/0.9；亚盘意图候选：平衡盘/等待临场确认（中证据）；依据：主队上盘，让球基本稳定，上盘水位0.92，下盘水位0.90，欧赔变化不大；缺首发、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定；PM/必发/BTTS缺口只作证据折扣；亚盘按标签+微观+水位+同档+风控判断,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程,严格按skill：展示盘口快照和球探详情；PM/必发/BTTS缺口只禁止对应市场主单，亚盘按标签+微观+水位+同档+风控漏斗判断,否,待赛,不计,NA,亚盘EV待筛选,本次更新已重新读取即时盘口；亚盘方向由HTML红框EV漏斗给出；无投注数据时沿用原亚盘EV框架，有Chuqi/必发匹配时按资金流验证矩阵审计
2026-09-08,沙特联,哈森姆 vs 布赖代合作,20260908-TITAN-3046979-亚盘意图框架-待EV筛选,排名/阶段 10-13,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,0,主客排名/阶段 10-13；综合评分 主46/客54；伤停 主[0 苏拜(左后卫)-未知的损伤] / 客[47 Y.巴赫拉维(前锋)-间接红牌停赛]；首发未接入/待赛前1小时核；近况 全部/记录: 主3胜3平4负 / 客2胜4平4负；主队 客队/记录: 主6胜2平2负 / 客3胜3平4负；H2H 全部/记录: 主1胜2平3负 / 客3胜2平1负；主客相同/记录: 主1胜3平2负 / 客2胜3平1负,Titan007亚盘 开 0.83/-0.25/0.99；即 0.96/-0.25/0.86；欧赔 开 3.16/3.39/2.11；即 3.36/3.55/1.97；去水 主27.4%/平25.9%/客46.7%；返还率92.0%；大小球 开 0.82/2.5/0.98；即 0.82/2.5/0.98；亚盘意图候选：平衡盘/等待临场确认（中证据）；依据：客队上盘，让球基本稳定，上盘水位0.86，下盘水位0.96，欧赔支持上盘；缺首发、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定；PM/必发/BTTS缺口只作证据折扣；亚盘按标签+微观+水位+同档+风控判断,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程,严格按skill：展示盘口快照和球探详情；PM/必发/BTTS缺口只禁止对应市场主单，亚盘按标签+微观+水位+同档+风控漏斗判断,否,待赛,不计,NA,亚盘EV待筛选,本次更新已重新读取即时盘口；亚盘方向由HTML红框EV漏斗给出；无投注数据时沿用原亚盘EV框架，有Chuqi/必发匹配时按资金流验证矩阵审计
2026-09-08,俄杯,伊凡诺沃 vs 图拉兵工厂,20260908-TITAN-3013074-亚盘意图框架-待EV筛选,排名/阶段 俄甲16-俄甲10,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,0,主客排名/阶段 俄甲16-俄甲10；综合评分 主44/客56；伤停 主[20 罗斯普特科(中场)-断腿] / 客[31 布沙科夫(中卫)-未知的损伤]；首发未接入/待赛前1小时核；近况 全部/记录: 主1胜3平6负 / 客3胜3平4负；主队 客队/记录: 主2胜3平5负 / 客1胜4平5负；H2H 全部/记录: 主0胜1平1负 / 客1胜1平0负；主客相同/记录: 主0胜1平0负 / 客0胜1平0负,Titan007亚盘 开 0.71/-0.25/0.99；即 0.71/-0.25/0.99；欧赔 开 2.73/3.16/2.44；即 2.73/2.97/2.58；去水 主33.6%/平30.9%/客35.5%；返还率91.7%；大小球 开 0.92/2.5/0.78；即 0.92/2.5/0.78；亚盘意图候选：诱下/上盘降温（中证据）；依据：客队上盘，让球基本稳定，上盘水位0.99，下盘水位0.71，欧赔削弱上盘；缺首发、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定；PM/必发/BTTS缺口只作证据折扣；亚盘按标签+微观+水位+同档+风控判断,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程,严格按skill：展示盘口快照和球探详情；PM/必发/BTTS缺口只禁止对应市场主单，亚盘按标签+微观+水位+同档+风控漏斗判断,否,待赛,不计,NA,亚盘EV待筛选,本次更新已重新读取即时盘口；亚盘方向由HTML红框EV漏斗给出；无投注数据时沿用原亚盘EV框架，有Chuqi/必发匹配时按资金流验证矩阵审计
2026-09-08,欧冠杯,AEK雅典 vs LASK林茨,20260908-TITAN-3073215-亚盘意图框架-待EV筛选,排名/阶段 希腊超2-奥甲1,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,0,主客排名/阶段 希腊超2-奥甲1；综合评分 主54/客46；伤停 主[5 阿列克西奥(后卫)-因不明伤病无参赛资格、7 库泰萨(左边锋)-资格限制、0 派洛特(中锋)-资格限制、15 马丁·...] / 客[22 哈拉卡特(中锋)-十字韧带撕裂、5 斯马卡积(后腰)-资格限制、52 切克内(中卫)-资格限制、7 阿德尼兰(中锋...]；首发未接入/待赛前1小时核；近况 全部/记录: 主5胜5平0负 / 客9胜0平1负；主队 客队/记录: 主7胜2平1负 / 客7胜1平2负,Titan007亚盘 开 0.89/0.75/0.99；即 1.0/0.75/0.88；欧赔 开 1.77/3.91/4.29；即 1.72/3.91/4.41；去水 主54.6%/平24.0%/客21.3%；返还率94.0%；大小球 开 0.83/2.75/1.03；即 1.03/3.0/0.85；亚盘意图候选：平衡盘/等待临场确认（中证据）；依据：主队上盘，让球基本稳定，上盘水位1.00，下盘水位0.88，欧赔变化不大；缺首发、H2H、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定；PM/必发/BTTS缺口只作证据折扣；亚盘按标签+微观+水位+同档+风控判断,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程,严格按skill：展示盘口快照和球探详情；PM/必发/BTTS缺口只禁止对应市场主单，亚盘按标签+微观+水位+同档+风控漏斗判断,否,待赛,不计,NA,亚盘EV待筛选,本次更新已重新读取即时盘口；亚盘方向由HTML红框EV漏斗给出；无投注数据时沿用原亚盘EV框架，有Chuqi/必发匹配时按资金流验证矩阵审计
2026-09-08,欧冠杯,布鲁日 vs 阿斯顿维拉,20260908-TITAN-3073135-亚盘意图框架-待EV筛选,排名/阶段 比甲3-英超17,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,0,主客排名/阶段 比甲3-英超17；综合评分 主54/客46；伤停 主[4 奥多涅斯(中卫)-跖骨骨折] / 客[24 A·奥纳纳(后腰)-十字韧带撕裂、44 曼赞比(前腰)-膝盖挫伤、39 B·马德乔(中锋)-脚踝损伤、4 T.贝利...]；首发未接入/待赛前1小时核；近况 全部/记录: 主7胜2平1负 / 客4胜2平4负；主队 客队/记录: 主8胜2平0负 / 客3胜3平4负；H2H 全部/记录: 主1胜0平2负 / 客2胜0平1负；主客相同/记录: 主1胜0平1负 / 客1胜0平1负,Titan007亚盘 开 1.0/0.0/0.88；即 1.02/0.0/0.86；欧赔 开 2.67/3.58/2.51；即 2.69/3.62/2.41；去水 主35.0%/平26.0%/客39.0%；返还率94.1%；大小球 开 0.91/2.75/0.95；即 0.94/2.75/0.94；亚盘意图候选：阻下/下盘保护（中证据）；依据：客队上盘，让球基本稳定，上盘水位0.86，下盘水位1.02，欧赔支持上盘；缺首发、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定；PM/必发/BTTS缺口只作证据折扣；亚盘按标签+微观+水位+同档+风控判断,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程,严格按skill：展示盘口快照和球探详情；PM/必发/BTTS缺口只禁止对应市场主单，亚盘按标签+微观+水位+同档+风控漏斗判断,否,待赛,不计,NA,亚盘EV待筛选,本次更新已重新读取即时盘口；亚盘方向由HTML红框EV漏斗给出；无投注数据时沿用原亚盘EV框架，有Chuqi/必发匹配时按资金流验证矩阵审计
2026-09-08,荷甲,奈梅亨 vs SBV精英,20260908-TITAN-2996117-亚盘意图框架-待EV筛选,排名/阶段 10-5,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,0,主客排名/阶段 10-5；综合评分 主52/客48；伤停 主[7 莫尔(中场)-轻微震荡、3 桑德勒(中卫)-未知的损伤、13 A·卡普兰(中卫)-膝关节损伤、24 丰维尔(中卫)-...] / 客[10 诺亚·诺约克斯(中前卫)-轻微震荡、11 贾汉巴卡什(右边锋)-撞伤]；首发未接入/待赛前1小时核；近况 全部/记录: 主3胜2平5负 / 客6胜2平2负；主队 客队/记录: 主3胜4平3负 / 客5胜3平2负；H2H 全部/记录: 主4胜1平1负 / 客1胜1平4负；主客相同/记录: 主3胜1平2负 / 客2胜1平3负,Titan007亚盘 开 1.02/1.25/0.86；即 0.99/1.0/0.89；欧赔 开 1.56/4.39/5.11；即 1.43/4.78/5.99；去水 主65.0%/平19.5%/客15.5%；返还率93.0%；大小球 开 0.93/3.25/0.93；即 0.99/3.5/0.88；亚盘意图候选：降温保护/诱下（中证据）；依据：主队上盘，让球退盘，上盘水位0.99，下盘水位0.89，欧赔支持上盘；缺首发、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定；PM/必发/BTTS缺口只作证据折扣；亚盘按标签+微观+水位+同档+风控判断,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程,严格按skill：展示盘口快照和球探详情；PM/必发/BTTS缺口只禁止对应市场主单，亚盘按标签+微观+水位+同档+风控漏斗判断,否,待赛,不计,NA,亚盘EV待筛选,本次更新已重新读取即时盘口；亚盘方向由HTML红框EV漏斗给出；无投注数据时沿用原亚盘EV框架，有Chuqi/必发匹配时按资金流验证矩阵审计
2026-09-08,沙特联,卡达西亚 vs 吉达国民,20260908-TITAN-3046981-亚盘意图框架-待EV筛选,排名/阶段 3-6,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,0,主客排名/阶段 3-6；综合评分 主52/客48；伤停 主[23 艾哈迈德(中卫)-十字韧带撕裂] / 客[16 E.门迪(守门员)-韧带损伤]；首发未接入/待赛前1小时核；近况 全部/记录: 主9胜0平1负 / 客8胜0平2负；主队 客队/记录: 主6胜3平1负 / 客5胜2平3负；H2H 全部/记录: 主2胜1平3负 / 客3胜1平2负；主客相同/记录: 主3胜1平2负 / 客2胜1平3负,Titan007亚盘 开 0.96/0.5/0.86；即 0.96/0.5/0.86；欧赔 开 1.96/3.7/3.31；即 1.81/3.85/3.63；去水 主50.8%/平23.9%/客25.3%；返还率91.9%；大小球 开 0.8/3.0/1.0；即 0.84/3.0/0.96；亚盘意图候选：平衡盘/等待临场确认（中证据）；依据：主队上盘，让球基本稳定，上盘水位0.96，下盘水位0.86，欧赔支持上盘；缺首发、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定；PM/必发/BTTS缺口只作证据折扣；亚盘按标签+微观+水位+同档+风控判断,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程,严格按skill：展示盘口快照和球探详情；PM/必发/BTTS缺口只禁止对应市场主单，亚盘按标签+微观+水位+同档+风控漏斗判断,否,待赛,不计,NA,亚盘EV待筛选,本次更新已重新读取即时盘口；亚盘方向由HTML红框EV漏斗给出；无投注数据时沿用原亚盘EV框架，有Chuqi/必发匹配时按资金流验证矩阵审计
2026-09-08,沙特联,吉达联合 vs 费哈,20260908-TITAN-3046980-亚盘意图框架-待EV筛选,排名/阶段 4-11,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,0,主客排名/阶段 4-11；综合评分 主72/客28；伤停 主[17 杜姆比亚(中前卫)-十字韧带撕裂、80 H·哈姆迪(中前卫)-十字韧带损伤、78 R·费尔南德斯(右边锋)-十字韧...] / 客[23 萨戈利奥(右边锋)-未知的损伤]；首发未接入/待赛前1小时核；近况 全部/记录: 主6胜2平2负 / 客3胜2平5负；主队 客队/记录: 主6胜2平2负 / 客3胜2平5负；H2H 全部/记录: 主4胜2平0负 / 客0胜2平4负；主客相同/记录: 主6胜0平0负 / 客0胜0平6负,Titan007亚盘 开 1.0/1.25/0.82；即 0.93/1.25/0.89；欧赔 开 1.43/4.67/5.9；即 1.46/4.54/5.42；去水 主62.9%/平20.2%/客16.9%；返还率91.8%；大小球 开 0.98/3.25/0.82；即 0.98/3.25/0.82；亚盘意图候选：平衡盘/等待临场确认（中证据）；依据：主队上盘，让球基本稳定，上盘水位0.93，下盘水位0.89，欧赔变化不大；缺首发、PM/必发资金流；资金流未验证：沿用亚盘EV框架（无PM/必发匹配）；亚盘下注由EV漏斗决定；PM/必发/BTTS缺口只作证据折扣；亚盘按标签+微观+水位+同档+风控判断,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程,严格按skill：展示盘口快照和球探详情；PM/必发/BTTS缺口只禁止对应市场主单，亚盘按标签+微观+水位+同档+风控漏斗判断,否,待赛,不计,NA,亚盘EV待筛选,本次更新已重新读取即时盘口；亚盘方向由HTML红框EV漏斗给出；无投注数据时沿用原亚盘EV框架，有Chuqi/必发匹配时按资金流验证矩阵审计
